"Participant","Experiment_Duration","Date","Time","Browser","Mobile","Platform","Screen_Width","Screen_Height","Source","Gender","Age","Education","Discipline","Student","Ethnicity","Country","SexualOrientation","SexualStatus","StimuliChoice","Bait_Duration","BAIT_InterestingAI","BAIT_EmotionalHuman","BAIT_UserAI","BAIT_UnderstandingAI","BAIT_ImagesRealistic","BAIT_Worry","BAIT_Exciting","BAIT_TextIssues","BAIT_ExpertAI","BAIT_UniqueHuman","BAIT_VideosIssues","BAIT_TextRealistic","BAIT_ContentDetection","BAIT_ImageDistinctionEasy","BAIT_TextDifferentiation","BAIT_PreferenceHuman","BAIT_Dangerous","BAIT_ImagesIssues","BAIT_InnovativeAI","BAIT_TrustHuman","BAIT_ImageDistinctionBad","BAIT_Benefit","BAIT_ImitatingReality","BAIT_VideosRealistic","BAIT_ImpersonalAI","BAIT_EnvironmentReal","COPS_Duration","SexualActivity","COPS_Frequency_2","Feedback_NoFacesAttractive","Feedback_SomeFacesAttractive","Feedback_AIMoreAttractive","Feedback_AILessAttractive","Feedback_DiffObvious","Feedback_DiffSubtle","Feedback_DiffNone","Feedback_LabelsIncorrect","Feedback_LabelsReversed","Feedback_AllReal","Feedback_AllFake","Feedback_AllRealConfidence","Feedback_AllFakeConfidence","Feedback_Enjoyment","Feedback_Text","Instruction_Duration1","Instruction_Duration2","Eyetracking_Validation1_Mean","Eyetracking_Validation1_Max","Eyetracking_Validation1_Min","Eyetracking_Validation1_Distance","Eyetracking_Validation2_Mean","Eyetracking_Validation2_Max","Eyetracking_Validation2_Min","Eyetracking_Validation2_Distance","Screen_Size"
"S001",26.3437333333333,"21/01/2025","15:47:54","firefox","True","Android OS",980,1921,"prolific","Female",38,"High school","Prefer not to say","False","White","United Kingdom","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.4362,5,4,3,5,5,4,4,5,3,5,3,3,3,2,3,5,5,3,4,4,1,3,5,5,3,5,0.135466666666667,"within the last 3 days","I haven't watched pornography in the past 30 days","False","True","False","False","False","False","False","False","False","False","False",NA,NA,2,"",51.036,8.585,20,100,0,0.0652893200493006,20,100,0,0.0454218976808228,1372.07142671218
"S002",32.5379833333333,"27/01/2025","21:16:46","chrome","False","Windows 10",1517,716,"prolific","Male",34,"Other","Prefer not to say","Prefer not to say","Mixed","South Africa","Heterosexual","Single and open to dating","Prefer not to say",2.41913333333333,0,6,2,0,5,5,4,4,0,6,6,0,0,0,6,5,4,0,0,6,4,4,2,0,3,2,0.577266666666667,"more than a year ago","I watched pornography twice in the past 30 days","False","True","False","True","False","False","True","False","False","False","False",NA,NA,4,"Fascinating question the study makes me ask myself: ""Do I know how to differentiate from AI & Human-Gernerated?"". Evidently, it feels like I don't. Thank you for the opportunity to participate.",156.786,37.839,0,0,0,149.768914634144,3.24960127591707,13.6363636363636,0,162.708514045837,1042.19575896278
"S003",39.44965,"28/01/2025","12:48:47","edge-chromium","False","Windows 10",1358,650,"prolific","Female",62,"Doctorate","Medicine","Prefer not to say","Mixed","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",3.25558333333333,5,4,6,5,3,1,6,6,3,3,2,5,5,6,1,5,0,2,5,4,1,6,5,5,4,3,0.452433333333333,"within the last 3 days","I watched pornography twice in the past 30 days","False","True","True","False","True","False","False","False","True","False","False",NA,NA,4,"not yet but i enjoyed the experiment a lot",270.669,61.15,1.33333333333333,13.3333333333333,0,58.6047778669784,NA,NA,NA,NA,939.521154631443
"S004",17.4015666666667,"30/01/2025","18:36:41","chrome","False","Windows 10",2560,1269,"prolific","Male",42,"Master","Otther","False","White","United Kingdom","Homosexual","In a relationship and not open to dating","Prefer not to say",1.68336666666667,3,2,5,2,4,1,5,4,1,2,2,5,2,1,5,4,1,4,4,5,3,4,5,4,4,3,0.172316666666667,"within the last month","I watched pornography multiple times a week","False","True","False","False","False","False","True","False","False","False","False",NA,NA,4,"",3.974,6.178,17.0819209039548,100,0,125.266377083883,9.94632768361582,38.9830508474576,0,115.608593687672,1802.39840212978
"S005",25.8859166666667,"30/01/2025","20:52:11","chrome","False","Windows 10",1366,641,"prolific","Female",22,"High school","Prefer not to say","True","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",2.5748,6,5,6,3,6,6,4,4,3,5,4,3,3,3,4,6,6,4,6,6,3,4,6,5,5,6,0.513016666666667,"within the last week","I watched pornography twice in the past 30 days","False","True","False","True","False","False","False","True","False","True","False",3,NA,3,"",115.8,32.501,2.69005847953216,15.7894736842105,0,92.2534273043618,9.74358974358974,50,0,74.5606480525952,935.738211253554
"S006",20.5886,"30/01/2025","21:17:03","chrome","False","Windows 10",1536,730,"prolific","Female",23,"High school","Prefer not to say","True","Black","South Africa","Heterosexual","In a relationship and not open to dating","Prefer not to say",1.72663333333333,2,6,6,4,4,5,5,5,3,6,4,2,5,5,2,6,5,6,3,6,0,4,4,5,5,3,0.198683333333333,"within the last week","I watched pornography twice in the past 30 days","False","True","False","False","False","False","False","True","False","False","False",NA,NA,4,"Study kept refreshing and forces one to start all over. In future please set it such that it continues where you left off.",4.345,23.079,2.37391774891775,8.57142857142857,0,67.9354473332473,2.05042016806723,17.6470588235294,0,71.132911886604,1058.90509489756
"S007",33.60355,"03/02/2025","14:27:17","chrome","False","Windows 10",1536,730,"prolific","Female",23,"Bachelor","Arts and Humanities","False","Black","South Africa","Heterosexual","Single and open to dating","Prefer not to say",2.76741666666667,4,6,5,5,6,5,4,5,0,6,1,6,0,0,6,6,3,0,5,6,5,6,6,6,6,6,0.721783333333333,"less than 24h ago","I watched pornography weekly","False","True","False","True","False","False","True","False","False","True","False",4,NA,4,"I liked this experiment. keep them coming!",82.045,27.99,7.2969023962595,30.5084745762712,0,97.8291253839667,4.28423923631405,15.5172413793103,0,162.298890877331,1058.90509489756
"S008",49.9761833333333,"03/02/2025","15:46:51","chrome","False","Windows 10",1366,641,"prolific","Male",22,"High school","Prefer not to say","True","Black","South Africa","Heterosexual","In a relationship and open to dating","Prefer not to say",2.10686666666667,6,5,4,4,5,5,4,5,4,5,6,5,5,3,5,5,4,5,5,6,3,5,5,5,3,5,0.525966666666667,"within the last 3 days","I watched pornography twice in the past 30 days","False","True","True","False","False","False","False","False","False","True","False",4,NA,4,"none",34.273,44.483,0.833333333333333,8.33333333333333,0,85.5996858687775,3.98900748038679,28.5714285714286,0,109.202391326663,935.738211253554
"S009",20.8193166666667,"04/02/2025","12:04:34","chrome","False","Windows 10",1336,589,"prolific","Male",23,"High school","Prefer not to say","True","Black","South Africa","Heterosexual","Single and open to dating","Prefer not to say",1.03748333333333,4,4,3,4,3,6,3,2,0,3,4,3,4,3,3,6,5,3,3,4,4,3,4,2,3,5,0.244283333333333,"within the last year","I watched pornography twice in the past 30 days","False","True","False","True","False","False","True","True","True","False","False",NA,NA,2,"no",60.672,70.343,5.50564971751412,30,0,67.0482652027831,1.35057471264368,8.33333333333333,0,72.6142259403723,887.076095946678
"S010",29.45165,"04/02/2025","12:06:33","edge-chromium","False","Windows 10",1358,608,"prolific","Female",40,"Bachelor","Arts and Humanities","False","Black","South Africa","Heterosexual","Single and open to dating","Prefer not to say",3.07806666666667,3,4,5,4,5,1,5,3,3,4,4,4,5,4,2,3,5,4,5,2,1,4,3,4,4,4,0.440116666666667,"within the last month","I haven't watched pornography in the past 30 days","False","True","True","False","False","False","False","False","False","True","False",3,NA,3,"",52.463,15.328,1.52542372881356,13.5593220338983,0,118.636255745431,1.1864406779661,6.77966101694915,0,123.92209613376,908.660552681803
